Switcher position [A.U],Switcher position [mm],delta Y [mm],Rate [counts/s],Rate error [counts/s],Guides overlap,Guide-area-corr rate [counts/s],Guide-area-corr rate error [counts/s],Turbine overlap,Turbine-area-corr rate [counts/s],Turbine-area-corr rate err [counts/s]
325.0,265.5,722.85,189.13333333333333,1.7754498647447698,1.0,189.13333333333333,1.7754498647447698,1.0,189.13333333333333,1.7754498647447698
1033.5,260.57420917273896,727.7697171024432,169.86666666666667,1.6825905952165283,0.9014841834547792,188.3830110193731,1.9381279986381947,1.0,188.3830110193731,1.9381279986381947
2047.0,253.52792970424346,734.8073081868839,131.86666666666667,1.4824903971958059,0.7605585940848693,173.2459640675889,2.1556559085557425,1.0,173.2459640675889,2.1556559085557425
3074.3,246.3857068152593,741.9407243891985,93.63333333333334,1.2492219800962339,0.6177141363051862,151.31424864423946,2.4281516269914842,1.0,151.31424864423946,2.4281516269914842
4058.8,239.54104757822546,748.7769438491214,62.56666666666667,1.021164912136026,0.4808209515645092,129.660364160473,2.831851184994545,1.0,129.660364160473,2.831851184994545
5050.3,232.6477213887698,755.6617702528933,36.78333333333333,0.7829786431030896,0.3429544277753962,106.43047816598374,3.539339747643689,0.9999105630417413,106.43999783562722,3.5396563237385656
6103.7,225.32404029147023,762.9764209172739,15.733333333333333,0.5120763831912405,0.19648080582940453,78.31716698678714,5.28794225315004,0.991226870919051,79.01033485318312,5.334744656636616
7063.2,218.65319159879982,769.6390441491642,2.7,0.21213203435596426,0.06306383197599641,36.42527540387993,13.106120271470463,0.9707633435175667,37.52230205962736,13.500839683521999
8063.6,211.6979888555508,776.5856708101157,1.75,0.1707825127659933,0.0,0.0,0.0,0.9363676335201715,0.0,0.0
9087.1,204.5821851693099,783.6927003857694,1.65,0.16583123951776998,0.0,0.0,0.0,0.8870333358883625,0.0,0.0
10277.5,196.30602228889842,791.9586583797686,1.5,0.15811388300841897,0.0,0.0,0.0,0.8111580608271063,0.0,0.0
11063.0,190.84489498499786,797.4130518645521,1.5166666666666666,0.15898986690282427,0.0,0.0,0.0,0.749907776177401,0.0,0.0
11990.0,184.4,803.85,1.45,0.15545631755148026,0.0,0.0,0.0,0.6658823308155289,0.0,0.0
13029.4,177.17365280754393,811.0674367766824,1.4833333333333334,0.15723301886761004,0.0,0.0,0.0,0.5612891870073742,0.0,0.0
14032.9,170.19689755679383,818.03558936991,1.4333333333333333,0.15456030825826172,0.0,0.0,0.0,0.4574244191330974,0.0,0.0
15204.3,162.0528306900986,826.1696142306043,1.7,0.16832508230603463,0.0,0.0,0.0,0.33544579133555236,0.0,0.0
-323.9,270.0114264894985,718.3441363051865,196.43333333333334,1.8093890927296121,0.9097714702100302,215.87238278661775,2.0538739206911205,1.0,215.87238278661775,2.0538739206911205
-275.5,269.6749292756108,718.6802186026575,198.43333333333334,1.8185769772605782,0.9165014144877841,216.47258346288945,2.044001931457794,1.0,216.47258346288945,2.044001931457794
-206.6,269.19590741534506,719.1586498071154,198.96666666666667,1.8210192506151908,0.9260818516930988,214.81349785571788,2.0187099213018693,1.0,214.81349785571788,2.0187099213018693
-164.2,268.90112473210456,719.4530690098586,199.2,1.8220867158288598,0.9319775053579087,213.7076798337703,2.0029368067210043,1.0,213.7076798337703,2.0029368067210043
