Switcher position [A.U],Switcher position [mm],delta Y [mm],Rate [counts/s],Rate error [counts/s],Guides overlap,Guide-area-corr rate [counts/s],Guide-area-corr rate error [counts/s],Turbine overlap,Turbine-area-corr rate [counts/s],Turbine-area-corr rate err [counts/s]
11433.5,188.26902271753107,706.7857479639948,369125.73,78.44,0.9447282468924133,390136.54316075257,88.8797128560092,1.0,390136.54316075257,88.8797128560092
11506.8,187.75941020145734,707.2947321045864,370211.93,78.55,0.9520084256934667,388370.52727512637,87.55086108606626,1.0,388370.52727512637,87.55086108606626
11571.8,187.3075027861123,707.746082297471,370499.75,78.58,0.9584642459126814,386122.27220507344,86.3188958394063,1.0,386122.27220507344,86.3188958394063
11631.2,186.89452893270467,708.1585469352765,370206.37,78.55,0.9643638723899333,383517.07204389473,85.14795619366032,1.0,383517.07204389473,85.14795619366032
11714.3,186.3167826832405,708.7355807972567,367748.87,78.29,0.9726173902394216,377820.76239859924,83.3094922928653,1.0,377820.76239859924,83.3094922928653
11767.4,185.94760908701244,709.1042991855979,365186.47,78.02,0.9778912987569652,373216.7199478009,82.0447735103973,1.0,373216.7199478009,82.0447735103973
11816.2,185.6083309044149,709.4431590227175,362560.02,77.73,0.9827381299369299,368752.7635898554,80.85184097965788,1.0,368752.7635898554,80.85184097965788
11866.5,185.2586240891556,709.7924346335191,360052.53,77.47,0.9877339415834915,364399.61639752024,79.67389043600944,1.0,364399.61639752024,79.67389043600944
11928.8,184.8254882126018,710.2250364337763,356765.05,77.11,0.9939215969628313,358885.7180079644,78.19312966053117,1.0,358885.7180079644,78.19312966053117
11978.9,184.4771718816974,710.5729232747535,353891.75,76.8,0.9988975445471803,354271.2937650606,76.99512924535907,1.0,354271.2937650606,76.99512924535907
12031.5,184.1114744963566,710.938169738534,350538.58,76.44,0.9958782070908085,351948.0189196953,77.17025911775116,1.0,351948.0189196953,77.17025911775116
12083.7,183.74855807972568,711.3006386626661,347423.12,76.09,0.990693686853224,350592.7830950141,77.74414265152028,1.0,350592.7830950141,77.74414265152028
12136.2,183.38355593656235,711.6651907415345,344517.95,75.78,0.9854793705223192,349446.93314351205,78.37004533827421,1.0,349446.93314351205,78.37004533827421
12202.6,182.92191513073297,712.126262323189,340679.07,75.35,0.9788845018676138,347812.141646024,79.13247136454784,1.0,347812.141646024,79.13247136454784
12252.6,182.574294042006,712.4734547792541,337688.32,75.02,0.9739184863143712,346463.8053437929,79.70703139883237,1.0,346463.8053437929,79.70703139883237
12319.1,182.11195799399914,712.9352207458209,334329.73,74.65,0.9673136856285591,345289.09475652763,80.55156522107166,1.0,345289.09475652763,80.55156522107166
12368.9,181.7657273896271,713.2810244320617,331475.13,74.33,0.96236753413753,344046.1087853559,81.14700861790176,1.0,344046.1087853559,81.14700861790176
